FIPS ,STATE,COUNTY,Manu_Emp,Govt_Emp,Farm_Emp,Total_Emp,EMP06
37027,NC,Caldwell,16961,3597,520,36715,38726
37035,NC,Catawba,42693,7726,741,98759,105059
37039,NC,Cherokee,3106,1642,377,9843,13530
37043,NC,Clay,384,338,252,2346,3848
37045,NC,Cleveland,16197,4747,1033,44438,45542
37057,NC,Davidson,24166,5970,1242,61458,74983
37059,NC,Davie,4179,1536,797,13389,16972
37067,NC,Forsyth,38038,15941,930,192224,230596
37075,NC,Graham,672,495,187,2551,4463
37081,NC,Guilford,60004,28093,1647,280482,345323
37087,NC,Haywood,4576,3291,1161,21074,26769
37089,NC,Henderson,7664,4116,1252,35503,49963
37097,NC,Iredell,16784,5619,1905,53094,83388
37099,NC,Jackson,1359,3487,297,12657,22976
37111,NC,McDowell,9542,1956,319,19370,20867
37113,NC,Macon,1380,1324,391,10952,18015
37115,NC,Madison,910,994,1596,6477,8327
37121,NC,Mitchell,2181,1106,462,7258,7691
37149,NC,Polk,884,706,243,5493,7952
37157,NC,Rockingham,16194,4500,1579,41553,41401
37159,NC,Rowan,13094,7476,1276,49608,58205
37161,NC,Rutherford,12171,3186,585,30018,30605
37169,NC,Stokes,1418,1822,1556,10773,13494
37171,NC,Surry,15739,3892,2078,41472,42552
37173,NC,Swain,1201,1480,114,6374,7656
37175,NC,Transylvania,3637,1297,277,12855,14665
37189,NC,Watauga,1363,4529,927,21389,31062
37193,NC,Wilkes,10258,4061,1691,31710,33054
37197,NC,Yadkin,2863,1660,1577,12363,15080
37199,NC,Yancey,2364,775,884,6882,7598
39001,OH  ,Adams,412,1572,1852,9141,12867
39007,OH  ,Ashtabula,8981,5131,1619,40396,48207
39009,OH  ,Athens,1321,9490,649,24523,29664
39013,OH  ,Belmont,2010,3726,786,27181,32876
39015,OH  ,Brown,1570,1783,2029,11183,17089
39019,OH  ,Carroll,1634,950,967,8684,12163
39025,OH  ,Clermont,6787,6362,1149,49935,88095
39027,OH  ,Clinton,4485,2627,1212,20024,32981
39029,OH  ,Columbiana,9161,4814,1513,41617,46034
39031,OH  ,Coshocton,4503,1673,1143,16256,19787
39045,OH  ,Fairfield,7221,5757,1548,38832,61031
39047,OH  ,Fayette,2599,1472,920,10928,16289
39053,OH  ,Gallia,912,2114,1051,13671,17166
39055,OH  ,Geauga,9159,3383,988,35141,53177
39059,OH  ,Guernsey,3530,2759,993,17352,21374
39061,OH  ,Hamilton,118484,66381,601,631361,632968
39067,OH  ,Harrison,672,912,589,5425,5346
39071,OH  ,Highland,2675,1976,1635,13602,17186
39073,OH  ,Hocking,2504,1491,464,8698,10508
39075,OH  ,Holmes,5202,1423,2106,16522,26834
